WKT,filename,path,lat,lon,gps_accuracy_m,datetime,original_csv_file
"POINT (34.8023589 31.2619872)",IMG_7144.HEIC,data/raw_photos/UnderBuilding26/IMG_7144.HEIC,31.2619872,34.8023589,20.859203296703296,2025:12:27 10:53:41,data/metadata_raw/UnderBuilding26.csv
"POINT (34.802321 31.261959)",IMG_8012.HEIC,data/raw_photos/UnderBuilding26/IMG_8012.HEIC,31.261959,34.802321,19.29938558927574,2025:12:27 10:56:02,data/metadata_raw/UnderBuilding26.csv
"POINT (34.8022469 31.2618475)",IMG_8009.HEIC,data/raw_photos/UnderBuilding26/IMG_8009.HEIC,31.2618475,34.8022469,23.55337176799441,2025:12:27 10:55:57,data/metadata_raw/UnderBuilding26.csv
"POINT (34.802211111111106 31.262075)",IMG_7143.HEIC,data/raw_photos/UnderBuilding26/IMG_7143.HEIC,31.262075,34.802211111111106,35.0,2025:12:27 10:53:29,data/metadata_raw/UnderBuilding26.csv
"POINT (34.802235 31.2620737)",IMG_7160.HEIC,data/raw_photos/UnderBuilding26/IMG_7160.HEIC,31.2620737,34.802235,35.0,2025:12:27 10:55:25,data/metadata_raw/UnderBuilding26.csv
"POINT (34.8041464 31.261883)",IMG_7594.HEIC,data/raw_photos/Building35Lower/IMG_7594.HEIC,31.261883,34.8041464,17.04828090709583,2025:12:26 10:09:49,data/metadata_raw/Building35Lower.csv
"POINT (34.8022818 31.2620837)",IMG_7157.HEIC,data/raw_photos/UnderBuilding26/IMG_7157.HEIC,31.2620837,34.8022818,35.0,2025:12:27 10:55:18,data/metadata_raw/UnderBuilding26.csv
"POINT (34.8023593 31.2619603)",IMG_7184.HEIC,data/raw_photos/UnderBuilding26/IMG_7184.HEIC,31.2619603,34.8023593,20.11320240043644,2025:12:27 10:57:13,data/metadata_raw/UnderBuilding26.csv
"POINT (34.8031451 31.2617733)",IMG_7893.HEIC,data/raw_photos/Bulding32Area/IMG_7893.HEIC,31.2617733,34.8031451,22.136489439184267,2025:12:27 10:45:10,data/metadata_raw/Bulding32Area.csv
"POINT (34.8028909 31.2622659)",IMG_7063.HEIC,data/raw_photos/Building28Area/IMG_7063.HEIC,31.2622659,34.8028909,25.529087647360328,2025:12:27 10:45:00,data/metadata_raw/Building28Area.csv
"POINT (34.80293333333333 31.262002777777777)",IMG_2756.HEIC,data/raw_photos/Building28Area/IMG_2756.HEIC,31.262002777777777,34.80293333333333,19.20484845111191,2025:12:27 10:46:23,data/metadata_raw/Building28Area.csv
"POINT (34.8021345 31.2618433)",IMG_8015.HEIC,data/raw_photos/UnderBuilding26/IMG_8015.HEIC,31.2618433,34.8021345,18.331104507181777,2025:12:27 10:56:12,data/metadata_raw/UnderBuilding26.csv
"POINT (34.8015079 31.2617189)",IMG_8092.HEIC,data/raw_photos/LibraryArea/IMG_8092.HEIC,31.2617189,34.8015079,31.458053429151693,2025:12:27 11:03:41,data/metadata_raw/LibraryArea.csv
"POINT (34.8038916 31.2618254)",IMG_2586.HEIC,data/raw_photos/nightWithout26AndLibrary/IMG_2586.HEIC,31.2618254,34.8038916,20.602333285323347,2025:12:26 17:38:55,data/metadata_raw/nightWithout26AndLibrary.csv
"POINT (34.8020985 31.2618398)",IMG_8021.HEIC,data/raw_photos/UnderBuilding26/IMG_8021.HEIC,31.2618398,34.8020985,15.16485020797136,2025:12:27 10:56:39,data/metadata_raw/UnderBuilding26.csv
"POINT (34.8020874 31.2619337)",IMG_2809.HEIC,data/raw_photos/UnderBuilding26/IMG_2809.HEIC,31.2619337,34.8020874,15.804304102976667,2025:12:27 10:53:07,data/metadata_raw/UnderBuilding26.csv
"POINT (34.802099999999996 31.262019444444444)",IMG_2819.HEIC,data/raw_photos/UnderBuilding26/IMG_2819.HEIC,31.262019444444444,34.802099999999996,37.929496006609746,2025:12:27 10:53:48,data/metadata_raw/UnderBuilding26.csv
"POINT (34.8021383 31.26205)",IMG_7173.HEIC,data/raw_photos/UnderBuilding26/IMG_7173.HEIC,31.26205,34.8021383,35.0,2025:12:27 10:56:08,data/metadata_raw/UnderBuilding26.csv
"POINT (34.80360833333333 31.262080555555556)",IMG_6916.HEIC,data/raw_photos/nightWithout26AndLibrary/IMG_6916.HEIC,31.262080555555556,34.80360833333333,16.758789452656814,2025:12:26 17:41:32,data/metadata_raw/nightWithout26AndLibrary.csv
"POINT (34.80365 31.261816666666668)",IMG_7847.HEIC,data/raw_photos/Bulding32Area/IMG_7847.HEIC,31.261816666666668,34.80365,17.800930066177784,2025:12:27 10:39:23,data/metadata_raw/Bulding32Area.csv
