filename,path,datetime,lat,lon,gps_accuracy_m
IMG_7410 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7410 2.HEIC,2025:12:29 20:19:14,31.261997222222224,34.80211944444444,4.599408448100564
IMG_7411 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7411 2.HEIC,2025:12:29 20:19:15,31.261997222222224,34.802125,4.766592932290262
IMG_7412 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7412 2.HEIC,2025:12:29 20:19:17,31.262,34.80211944444444,4.497308588414879
IMG_7413 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7413 2.HEIC,2025:12:29 20:19:19,31.262,34.80211944444444,4.389323460918374
IMG_7414 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7414 2.HEIC,2025:12:29 20:19:21,31.262,34.80211944444444,4.3827354666989295
IMG_7415 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7415 2.HEIC,2025:12:29 20:19:47,31.261958333333332,34.80213611111111,4.761264693077928
IMG_7416 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7416 2.HEIC,2025:12:29 20:19:48,31.261958333333332,34.802138888888884,4.762819680643905
IMG_7417 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7417 2.HEIC,2025:12:29 20:19:54,31.261958333333332,34.80214722222222,4.764034443628597
IMG_7418 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7418 2.HEIC,2025:12:29 20:19:56,31.261958333333332,34.802138888888884,4.765377280619361
IMG_7419 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7419 2.HEIC,2025:12:29 20:19:58,31.261958333333332,34.80213055555555,4.778504072010287
IMG_7420 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7420 2.HEIC,2025:12:29 20:20:00,31.261958333333332,34.80212777777778,4.770921330517424
IMG_7421 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7421 2.HEIC,2025:12:29 20:20:01,31.261958333333332,34.80212777777778,4.7689332903641635
IMG_7422 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7422 2.HEIC,2025:12:29 20:20:53,31.261891666666667,34.80205833333333,4.786208419193406
IMG_7423 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7423 2.HEIC,2025:12:29 20:20:56,31.261891666666667,34.80205833333333,4.772069186418962
IMG_7424 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7424 2.HEIC,2025:12:29 20:21:01,31.261902777777777,34.80206944444444,4.764095810354762
IMG_7425 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7425 2.HEIC,2025:12:29 20:21:03,31.261908333333334,34.80206666666666,4.756047763410258
IMG_7426 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7426 2.HEIC,2025:12:29 20:21:04,31.261908333333334,34.80206944444444,4.750696830232709
IMG_7427 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7427 2.HEIC,2025:12:29 20:21:06,31.261905555555554,34.802074999999995,4.748623221661313
IMG_7428 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7428 2.HEIC,2025:12:29 20:21:16,31.261836111111112,34.80210555555555,4.751314586191129
IMG_7429 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7429 2.HEIC,2025:12:29 20:21:19,31.261830555555555,34.80210555555555,4.754558911530346
IMG_7430 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7430 2.HEIC,2025:12:29 20:21:21,31.261830555555555,34.802099999999996,4.751782855479552
IMG_7431 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7431 2.HEIC,2025:12:29 20:21:23,31.261830555555555,34.80209444444444,4.75096883792536
IMG_7432 2.HEIC,data/raw_photos/NightImagesLibraryArea/IMG_7432 2.HEIC,2025:12:29 20:21:25,31.261825,34.80209444444444,4.756870550409554
