WKT,filename,path,lat,lon,gps_accuracy_m,datetime,original_csv_file
"POINT (34.8023283 31.262057)",IMG_2857.HEIC,data/raw_photos/UnderBuilding26/IMG_2857.HEIC,31.262057,34.8023283,17.964935715478376,2025:12:27 10:57:19,data/metadata_raw/UnderBuilding26.csv
"POINT (34.804325 31.261980555555557)",IMG_2366.HEIC,data/raw_photos/Building35First/IMG_2366.HEIC,31.261980555555557,34.804325,35.14589104339797,2025:12:24 13:47:44,data/metadata_raw/Building35First.csv
"POINT (34.8029581 31.2619253)",IMG_2762.HEIC,data/raw_photos/Building28Area/IMG_2762.HEIC,31.2619253,34.8029581,18.344296922148462,2025:12:27 10:47:19,data/metadata_raw/Building28Area.csv
"POINT (34.8022433 31.2620226)",IMG_7183.HEIC,data/raw_photos/UnderBuilding26/IMG_7183.HEIC,31.2620226,34.8022433,24.031172780840144,2025:12:27 10:56:44,data/metadata_raw/UnderBuilding26.csv
"POINT (34.803177777777776 31.262133333333335)",IMG_6948.HEIC,data/raw_photos/nightWithout26AndLibrary/IMG_6948.HEIC,31.262133333333335,34.803177777777776,29.021644685802947,2025:12:26 17:46:09,data/metadata_raw/nightWithout26AndLibrary.csv
"POINT (34.8022446 31.2619959)",IMG_2812.HEIC,data/raw_photos/UnderBuilding26/IMG_2812.HEIC,31.2619959,34.8022446,19.603609739485783,2025:12:27 10:53:17,data/metadata_raw/UnderBuilding26.csv
"POINT (34.804224999999995 31.262025)",IMG_7593.HEIC,data/raw_photos/Building35Lower/IMG_7593.HEIC,31.262025,34.804224999999995,17.37636722252107,2025:12:26 10:09:44,data/metadata_raw/Building35Lower.csv
"POINT (34.80215 31.26198888888889)",IMG_2870.HEIC,data/raw_photos/UnderBuilding26/IMG_2870.HEIC,31.26198888888889,34.80215,25.553976833976833,2025:12:27 10:58:30,data/metadata_raw/UnderBuilding26.csv
"POINT (34.80429722222222 31.26198888888889)",IMG_2524.HEIC,data/raw_photos/Building35Randoms/IMG_2524.HEIC,31.26198888888889,34.80429722222222,15.062287847929396,2025:12:26 10:21:00,data/metadata_raw/Building35Randoms.csv
"POINT (34.804199999999994 31.262019444444444)",IMG_7591.HEIC,data/raw_photos/Building35Lower/IMG_7591.HEIC,31.262019444444444,34.804199999999994,17.755636224684753,2025:12:26 10:09:37,data/metadata_raw/Building35Lower.csv
"POINT (34.80231944444444 31.262119444444444)",IMG_7141.HEIC,data/raw_photos/UnderBuilding26/IMG_7141.HEIC,31.262119444444444,34.80231944444444,35.0,2025:12:27 10:53:23,data/metadata_raw/UnderBuilding26.csv
"POINT (34.80289166666666 31.261961111111113)",IMG_2760.HEIC,data/raw_photos/Building28Area/IMG_2760.HEIC,31.261961111111113,34.80289166666666,18.942735263702172,2025:12:27 10:46:45,data/metadata_raw/Building28Area.csv
"POINT (34.8038642 31.2618128)",IMG_7738.HEIC,data/raw_photos/nightWithout26AndLibrary/IMG_7738.HEIC,31.2618128,34.8038642,15.985287248949088,2025:12:26 17:39:28,data/metadata_raw/nightWithout26AndLibrary.csv
"POINT (34.802258 31.2619661)",IMG_7190.HEIC,data/raw_photos/UnderBuilding26/IMG_7190.HEIC,31.2619661,34.802258,37.2471086496172,2025:12:27 10:57:42,data/metadata_raw/UnderBuilding26.csv
